unidade;ano;mes;porte;quantidade
HAC;2019,0;1,0;PORTE I;54,0
HAC;2019,0;1,0;PORTE II;33,0
HAC;2019,0;1,0;PORTE III;43,0
HAC;2019,0;1,0;PORTE IV;31,0
HAC;2019,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;2,0;PORTE I;51,0
HAC;2019,0;2,0;PORTE II;42,0
HAC;2019,0;2,0;PORTE III;46,0
HAC;2019,0;2,0;PORTE IV;37,0
HAC;2019,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;3,0;PORTE I;51,0
HAC;2019,0;3,0;PORTE II;42,0
HAC;2019,0;3,0;PORTE III;40,0
HAC;2019,0;3,0;PORTE IV;26,0
HAC;2019,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;4,0;PORTE I;68,0
HAC;2019,0;4,0;PORTE II;42,0
HAC;2019,0;4,0;PORTE III;44,0
HAC;2019,0;4,0;PORTE IV;28,0
HAC;2019,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;5,0;PORTE I;60,0
HAC;2019,0;5,0;PORTE II;48,0
HAC;2019,0;5,0;PORTE III;54,0
HAC;2019,0;5,0;PORTE IV;24,0
HAC;2019,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;6,0;PORTE I;61,0
HAC;2019,0;6,0;PORTE II;39,0
HAC;2019,0;6,0;PORTE III;51,0
HAC;2019,0;6,0;PORTE IV;39,0
HAC;2019,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;7,0;PORTE I;60,0
HAC;2019,0;7,0;PORTE II;37,0
HAC;2019,0;7,0;PORTE III;54,0
HAC;2019,0;7,0;PORTE IV;28,0
HAC;2019,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;8,0;PORTE I;46,0
HAC;2019,0;8,0;PORTE II;48,0
HAC;2019,0;8,0;PORTE III;43,0
HAC;2019,0;8,0;PORTE IV;26,0
