unidade;ano;mes;porte;quantidade
HAC;2019,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;9,0;PORTE I;49,0
HAC;2019,0;9,0;PORTE II;34,0
HAC;2019,0;9,0;PORTE III;41,0
HAC;2019,0;9,0;PORTE IV;23,0
HAC;2019,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;10,0;PORTE I;52,0
HAC;2019,0;10,0;PORTE II;32,0
HAC;2019,0;10,0;PORTE III;50,0
HAC;2019,0;10,0;PORTE IV;23,0
HAC;2019,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;11,0;PORTE I;66,0
HAC;2019,0;11,0;PORTE II;29,0
HAC;2019,0;11,0;PORTE III;31,0
HAC;2019,0;11,0;PORTE IV;31,0
HAC;2019,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2019,0;12,0;PORTE I;38,0
HAC;2019,0;12,0;PORTE II;33,0
HAC;2019,0;12,0;PORTE III;29,0
HAC;2019,0;12,0;PORTE IV;25,0
HAC;2019,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;1,0;PORTE I;35,0
HAC;2020,0;1,0;PORTE II;26,0
HAC;2020,0;1,0;PORTE III;41,0
HAC;2020,0;1,0;PORTE IV;35,0
HAC;2020,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;2,0;PORTE I;39,0
HAC;2020,0;2,0;PORTE II;41,0
HAC;2020,0;2,0;PORTE III;42,0
HAC;2020,0;2,0;PORTE IV;22,0
HAC;2020,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;3,0;PORTE I;35,0
HAC;2020,0;3,0;PORTE II;25,0
HAC;2020,0;3,0;PORTE III;49,0
HAC;2020,0;3,0;PORTE IV;16,0
HAC;2020,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;4,0;PORTE I;15,0
HAC;2020,0;4,0;PORTE II;27,0
HAC;2020,0;4,0;PORTE III;46,0
HAC;2020,0;4,0;PORTE IV;20,0
HAC;2020,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;5,0;PORTE I;6,0
HAC;2020,0;5,0;PORTE II;26,0
HAC;2020,0;5,0;PORTE III;64,0
HAC;2020,0;5,0;PORTE IV;24,0
HAC;2020,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;6,0;PORTE I;5,0
HAC;2020,0;6,0;PORTE II;20,0
HAC;2020,0;6,0;PORTE III;61,0
HAC;2020,0;6,0;PORTE IV;28,0
HAC;2020,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;7,0;PORTE I;14,0
HAC;2020,0;7,0;PORTE II;13,0
HAC;2020,0;7,0;PORTE III;57,0
HAC;2020,0;7,0;PORTE IV;35,0
HAC;2020,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;8,0;PORTE I;34,0
HAC;2020,0;8,0;PORTE II;23,0
HAC;2020,0;8,0;PORTE III;34,0
HAC;2020,0;8,0;PORTE IV;25,0
HAC;2020,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;9,0;PORTE I;21,0
HAC;2020,0;9,0;PORTE II;35,0
HAC;2020,0;9,0;PORTE III;38,0
HAC;2020,0;9,0;PORTE IV;25,0
HAC;2020,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;10,0;PORTE I;20,0
HAC;2020,0;10,0;PORTE II;17,0
HAC;2020,0;10,0;PORTE III;51,0
HAC;2020,0;10,0;PORTE IV;31,0
HAC;2020,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;11,0;PORTE I;36,0
HAC;2020,0;11,0;PORTE II;27,0
HAC;2020,0;11,0;PORTE III;38,0
HAC;2020,0;11,0;PORTE IV;15,0
HAC;2020,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2020,0;12,0;PORTE I;32,0
HAC;2020,0;12,0;PORTE II;24,0
HAC;2020,0;12,0;PORTE III;28,0
HAC;2020,0;12,0;PORTE IV;21,0
HAC;2020,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;1,0;PORTE I;32,0
HAC;2021,0;1,0;PORTE II;23,0
HAC;2021,0;1,0;PORTE III;26,0
HAC;2021,0;1,0;PORTE IV;18,0
HAC;2021,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;2,0;PORTE I;34,0
HAC;2021,0;2,0;PORTE II;17,0
HAC;2021,0;2,0;PORTE III;35,0
HAC;2021,0;2,0;PORTE IV;17,0
HAC;2021,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;3,0;PORTE I;53,0
HAC;2021,0;3,0;PORTE II;23,0
HAC;2021,0;3,0;PORTE III;41,0
HAC;2021,0;3,0;PORTE IV;19,0
HAC;2021,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;4,0;PORTE I;36,0
HAC;2021,0;4,0;PORTE II;27,0
HAC;2021,0;4,0;PORTE III;22,0
HAC;2021,0;4,0;PORTE IV;30,0
HAC;2021,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;5,0;PORTE I;54,0
HAC;2021,0;5,0;PORTE II;27,0
HAC;2021,0;5,0;PORTE III;39,0
HAC;2021,0;5,0;PORTE IV;30,0
HAC;2021,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;6,0;PORTE I;44,0
HAC;2021,0;6,0;PORTE II;29,0
HAC;2021,0;6,0;PORTE III;38,0
HAC;2021,0;6,0;PORTE IV;30,0
HAC;2021,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;7,0;PORTE I;42,0
HAC;2021,0;7,0;PORTE II;28,0
HAC;2021,0;7,0;PORTE III;42,0
HAC;2021,0;7,0;PORTE IV;24,0
HAC;2021,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;8,0;PORTE I;48,0
HAC;2021,0;8,0;PORTE II;32,0
HAC;2021,0;8,0;PORTE III;45,0
HAC;2021,0;8,0;PORTE IV;21,0
HAC;2021,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;9,0;PORTE I;26,0
HAC;2021,0;9,0;PORTE II;29,0
HAC;2021,0;9,0;PORTE III;47,0
HAC;2021,0;9,0;PORTE IV;6,0
HAC;2021,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;10,0;PORTE I;66,0
HAC;2021,0;10,0;PORTE II;15,0
HAC;2021,0;10,0;PORTE III;13,0
HAC;2021,0;10,0;PORTE IV;11,0
HAC;2021,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;11,0;PORTE I;86,0
HAC;2021,0;11,0;PORTE II;32,0
HAC;2021,0;11,0;PORTE III;12,0
HAC;2021,0;11,0;PORTE IV;4,0
HAC;2021,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2021,0;12,0;PORTE I;53,0
HAC;2021,0;12,0;PORTE II;35,0
HAC;2021,0;12,0;PORTE III;10,0
HAC;2021,0;12,0;PORTE IV;2,0
HAC;2021,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;1,0;PORTE I;26,0
HAC;2022,0;1,0;PORTE II;28,0
HAC;2022,0;1,0;PORTE III;6,0
HAC;2022,0;1,0;PORTE IV;5,0
HAC;2022,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;2,0;PORTE I;50,0
HAC;2022,0;2,0;PORTE II;33,0
HAC;2022,0;2,0;PORTE III;13,0
HAC;2022,0;2,0;PORTE IV;5,0
HAC;2022,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;3,0;PORTE I;37,0
HAC;2022,0;3,0;PORTE II;40,0
HAC;2022,0;3,0;PORTE III;15,0
HAC;2022,0;3,0;PORTE IV;7,0
HAC;2022,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;4,0;PORTE I;39,0
HAC;2022,0;4,0;PORTE II;31,0
HAC;2022,0;4,0;PORTE III;12,0
HAC;2022,0;4,0;PORTE IV;7,0
HAC;2022,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;5,0;PORTE I;58,0
HAC;2022,0;5,0;PORTE II;37,0
HAC;2022,0;5,0;PORTE III;12,0
HAC;2022,0;5,0;PORTE IV;3,0
HAC;2022,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;6,0;PORTE I;69,0
HAC;2022,0;6,0;PORTE II;33,0
HAC;2022,0;6,0;PORTE III;13,0
HAC;2022,0;6,0;PORTE IV;2,0
HAC;2022,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;7,0;PORTE I;45,0
HAC;2022,0;7,0;PORTE II;29,0
HAC;2022,0;7,0;PORTE III;19,0
HAC;2022,0;7,0;PORTE IV;6,0
HAC;2022,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;8,0;PORTE I;70,0
HAC;2022,0;8,0;PORTE II;39,0
HAC;2022,0;8,0;PORTE III;15,0
HAC;2022,0;8,0;PORTE IV;3,0
HAC;2022,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;9,0;PORTE I;71,0
HAC;2022,0;9,0;PORTE II;32,0
HAC;2022,0;9,0;PORTE III;12,0
HAC;2022,0;9,0;PORTE IV;11,0
HAC;2022,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;10,0;PORTE I;85,0
HAC;2022,0;10,0;PORTE II;31,0
HAC;2022,0;10,0;PORTE III;14,0
HAC;2022,0;10,0;PORTE IV;4,0
HAC;2022,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;11,0;PORTE I;80,0
HAC;2022,0;11,0;PORTE II;21,0
HAC;2022,0;11,0;PORTE III;8,0
HAC;2022,0;11,0;PORTE IV;5,0
HAC;2022,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2022,0;12,0;PORTE I;51,0
HAC;2022,0;12,0;PORTE II;30,0
HAC;2022,0;12,0;PORTE III;17,0
HAC;2022,0;12,0;PORTE IV;5,0
HAC;2022,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;1,0;PORTE I;54,0
HAC;2023,0;1,0;PORTE II;32,0
HAC;2023,0;1,0;PORTE III;10,0
HAC;2023,0;1,0;PORTE IV;3,0
HAC;2023,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;2,0;PORTE I;67,0
HAC;2023,0;2,0;PORTE II;31,0
HAC;2023,0;2,0;PORTE III;12,0
HAC;2023,0;2,0;PORTE IV;5,0
HAC;2023,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;3,0;PORTE I;100,0
HAC;2023,0;3,0;PORTE II;54,0
HAC;2023,0;3,0;PORTE III;24,0
HAC;2023,0;3,0;PORTE IV;3,0
HAC;2023,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;4,0;PORTE I;67,0
HAC;2023,0;4,0;PORTE II;36,0
HAC;2023,0;4,0;PORTE III;31,0
HAC;2023,0;4,0;PORTE IV;5,0
HAC;2023,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;5,0;PORTE I;97,0
HAC;2023,0;5,0;PORTE II;51,0
HAC;2023,0;5,0;PORTE III;21,0
HAC;2023,0;5,0;PORTE IV;9,0
HAC;2023,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;6,0;PORTE I;102,0
HAC;2023,0;6,0;PORTE II;39,0
HAC;2023,0;6,0;PORTE III;19,0
HAC;2023,0;6,0;PORTE IV;3,0
HAC;2023,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;7,0;PORTE I;77,0
HAC;2023,0;7,0;PORTE II;49,0
HAC;2023,0;7,0;PORTE III;34,0
HAC;2023,0;7,0;PORTE IV;5,0
HAC;2023,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;8,0;PORTE I;123,0
HAC;2023,0;8,0;PORTE II;49,0
HAC;2023,0;8,0;PORTE III;28,0
HAC;2023,0;8,0;PORTE IV;6,0
HAC;2023,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;9,0;PORTE I;117,0
HAC;2023,0;9,0;PORTE II;39,0
HAC;2023,0;9,0;PORTE III;20,0
HAC;2023,0;9,0;PORTE IV;12,0
HAC;2023,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;10,0;PORTE I;124,0
HAC;2023,0;10,0;PORTE II;49,0
HAC;2023,0;10,0;PORTE III;23,0
HAC;2023,0;10,0;PORTE IV;3,0
HAC;2023,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;11,0;PORTE I;94,0
HAC;2023,0;11,0;PORTE II;42,0
HAC;2023,0;11,0;PORTE III;23,0
HAC;2023,0;11,0;PORTE IV;8,0
HAC;2023,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2023,0;12,0;PORTE I;126,0
HAC;2023,0;12,0;PORTE II;48,0
HAC;2023,0;12,0;PORTE III;16,0
HAC;2023,0;12,0;PORTE IV;7,0
HAC;2023,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;1,0;PORTE I;88,0
HAC;2024,0;1,0;PORTE II;36,0
HAC;2024,0;1,0;PORTE III;16,0
HAC;2024,0;1,0;PORTE IV;3,0
HAC;2024,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;2,0;PORTE I;104,0
HAC;2024,0;2,0;PORTE II;54,0
HAC;2024,0;2,0;PORTE III;25,0
HAC;2024,0;2,0;PORTE IV;4,0
HAC;2024,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;3,0;PORTE I;102,0
HAC;2024,0;3,0;PORTE II;61,0
HAC;2024,0;3,0;PORTE III;19,0
HAC;2024,0;3,0;PORTE IV;9,0
HAC;2024,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;4,0;PORTE I;90,0
HAC;2024,0;4,0;PORTE II;50,0
HAC;2024,0;4,0;PORTE III;34,0
HAC;2024,0;4,0;PORTE IV;4,0
HAC;2024,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;5,0;PORTE I;98,0
HAC;2024,0;5,0;PORTE II;50,0
HAC;2024,0;5,0;PORTE III;25,0
HAC;2024,0;5,0;PORTE IV;6,0
HAC;2024,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;6,0;PORTE I;87,0
HAC;2024,0;6,0;PORTE II;48,0
HAC;2024,0;6,0;PORTE III;16,0
HAC;2024,0;6,0;PORTE IV;6,0
HAC;2024,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;7,0;PORTE I;103,0
HAC;2024,0;7,0;PORTE II;40,0
HAC;2024,0;7,0;PORTE III;12,0
HAC;2024,0;7,0;PORTE IV;7,0
HAC;2024,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;8,0;PORTE I;71,0
HAC;2024,0;8,0;PORTE II;52,0
HAC;2024,0;8,0;PORTE III;20,0
HAC;2024,0;8,0;PORTE IV;7,0
HAC;2024,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;9,0;PORTE I;106,0
HAC;2024,0;9,0;PORTE II;54,0
HAC;2024,0;9,0;PORTE III;18,0
HAC;2024,0;9,0;PORTE IV;5,0
HAC;2024,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;10,0;PORTE I;113,0
HAC;2024,0;10,0;PORTE II;45,0
HAC;2024,0;10,0;PORTE III;31,0
HAC;2024,0;10,0;PORTE IV;12,0
HAC;2024,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;11,0;PORTE I;85,0
HAC;2024,0;11,0;PORTE II;59,0
HAC;2024,0;11,0;PORTE III;28,0
HAC;2024,0;11,0;PORTE IV;7,0
HAC;2024,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2024,0;12,0;PORTE I;92,0
HAC;2024,0;12,0;PORTE II;62,0
HAC;2024,0;12,0;PORTE III;15,0
HAC;2024,0;12,0;PORTE IV;7,0
HAC;2024,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;1,0;PORTE I;96,0
HAC;2025,0;1,0;PORTE II;47,0
HAC;2025,0;1,0;PORTE III;25,0
HAC;2025,0;1,0;PORTE IV;9,0
HAC;2025,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;2,0;PORTE I;101,0
HAC;2025,0;2,0;PORTE II;52,0
HAC;2025,0;2,0;PORTE III;19,0
HAC;2025,0;2,0;PORTE IV;8,0
HAC;2025,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;3,0;PORTE I;102,0
HAC;2025,0;3,0;PORTE II;71,0
HAC;2025,0;3,0;PORTE III;27,0
HAC;2025,0;3,0;PORTE IV;5,0
HAC;2025,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;4,0;PORTE I;99,0
HAC;2025,0;4,0;PORTE II;66,0
HAC;2025,0;4,0;PORTE III;22,0
HAC;2025,0;4,0;PORTE IV;6,0
HAC;2025,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;5,0;PORTE I;88,0
HAC;2025,0;5,0;PORTE II;68,0
HAC;2025,0;5,0;PORTE III;24,0
HAC;2025,0;5,0;PORTE IV;14,0
HAC;2025,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;6,0;PORTE I;113,0
HAC;2025,0;6,0;PORTE II;34,0
HAC;2025,0;6,0;PORTE III;26,0
HAC;2025,0;6,0;PORTE IV;11,0
HAC;2025,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;7,0;PORTE I;114,0
HAC;2025,0;7,0;PORTE II;62,0
HAC;2025,0;7,0;PORTE III;24,0
HAC;2025,0;7,0;PORTE IV;10,0
HAC;2025,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;8,0;PORTE I;90,0
HAC;2025,0;8,0;PORTE II;67,0
HAC;2025,0;8,0;PORTE III;20,0
HAC;2025,0;8,0;PORTE IV;9,0
HAC;2025,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;9,0;PORTE I;123,0
HAC;2025,0;9,0;PORTE II;49,0
HAC;2025,0;9,0;PORTE III;20,0
HAC;2025,0;9,0;PORTE IV;11,0
HAC;2025,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HAC;2025,0;10,0;PORTE I;243,0
HAC;2025,0;10,0;PORTE II;62,0
HAC;2025,0;10,0;PORTE III;40,0
HAC;2025,0;10,0;PORTE IV;22,0
HAC;2025,0;10,0;PORTE SEM INFORMAÇÃO;3,0
HAC;2025,0;11,0;PORTE I;232,0
HAC;2025,0;11,0;PORTE II;38,0
HAC;2025,0;11,0;PORTE III;13,0
HAC;2025,0;11,0;PORTE IV;4,0
HAC;2025,0;11,0;PORTE SEM INFORMAÇÃO;2,0
HAC;2025,0;12,0;PORTE I;239,0
HAC;2025,0;12,0;PORTE II;39,0
HAC;2025,0;12,0;PORTE III;6,0
HAC;2025,0;12,0;PORTE IV;1,0
HAC;2025,0;12,0;PORTE SEM INFORMAÇÃO;2,0
HAC;2026,0;1,0;PORTE I;186,0
HAC;2026,0;1,0;PORTE II;32,0
HAC;2026,0;1,0;PORTE III;12,0
HAC;2026,0;1,0;PORTE IV;6,0
HAC;2026,0;1,0;PORTE SEM INFORMAÇÃO;3,0
HAC;2026,0;2,0;PORTE I;214,0
HAC;2026,0;2,0;PORTE II;35,0
HAC;2026,0;2,0;PORTE III;13,0
HAC;2026,0;2,0;PORTE IV;8,0
HAC;2026,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;1,0;PORTE I;31,0
HCM;2019,0;1,0;PORTE II;0,0
HCM;2019,0;1,0;PORTE III;0,0
HCM;2019,0;1,0;PORTE IV;0,0
HCM;2019,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;2,0;PORTE I;42,0
HCM;2019,0;2,0;PORTE II;0,0
HCM;2019,0;2,0;PORTE III;0,0
HCM;2019,0;2,0;PORTE IV;0,0
HCM;2019,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;3,0;PORTE I;30,0
HCM;2019,0;3,0;PORTE II;0,0
HCM;2019,0;3,0;PORTE III;0,0
HCM;2019,0;3,0;PORTE IV;0,0
HCM;2019,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;4,0;PORTE I;22,0
HCM;2019,0;4,0;PORTE II;0,0
HCM;2019,0;4,0;PORTE III;0,0
HCM;2019,0;4,0;PORTE IV;0,0
HCM;2019,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;5,0;PORTE I;23,0
HCM;2019,0;5,0;PORTE II;0,0
HCM;2019,0;5,0;PORTE III;0,0
HCM;2019,0;5,0;PORTE IV;0,0
HCM;2019,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;6,0;PORTE I;52,0
HCM;2019,0;6,0;PORTE II;0,0
HCM;2019,0;6,0;PORTE III;0,0
HCM;2019,0;6,0;PORTE IV;0,0
HCM;2019,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;7,0;PORTE I;49,0
HCM;2019,0;7,0;PORTE II;0,0
HCM;2019,0;7,0;PORTE III;0,0
HCM;2019,0;7,0;PORTE IV;0,0
HCM;2019,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;8,0;PORTE I;45,0
HCM;2019,0;8,0;PORTE II;0,0
HCM;2019,0;8,0;PORTE III;0,0
HCM;2019,0;8,0;PORTE IV;0,0
HCM;2019,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;9,0;PORTE I;57,0
HCM;2019,0;9,0;PORTE II;0,0
HCM;2019,0;9,0;PORTE III;0,0
HCM;2019,0;9,0;PORTE IV;0,0
HCM;2019,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;10,0;PORTE I;71,0
HCM;2019,0;10,0;PORTE II;0,0
HCM;2019,0;10,0;PORTE III;0,0
HCM;2019,0;10,0;PORTE IV;0,0
HCM;2019,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;11,0;PORTE I;55,0
HCM;2019,0;11,0;PORTE II;0,0
HCM;2019,0;11,0;PORTE III;0,0
HCM;2019,0;11,0;PORTE IV;0,0
HCM;2019,0;11,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2019,0;12,0;PORTE I;61,0
HCM;2019,0;12,0;PORTE II;0,0
HCM;2019,0;12,0;PORTE III;0,0
HCM;2019,0;12,0;PORTE IV;0,0
HCM;2019,0;12,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;1,0;PORTE I;54,0
HCM;2020,0;1,0;PORTE II;0,0
HCM;2020,0;1,0;PORTE III;0,0
HCM;2020,0;1,0;PORTE IV;0,0
HCM;2020,0;1,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;2,0;PORTE I;21,0
HCM;2020,0;2,0;PORTE II;0,0
HCM;2020,0;2,0;PORTE III;0,0
HCM;2020,0;2,0;PORTE IV;0,0
HCM;2020,0;2,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;3,0;PORTE I;0,0
HCM;2020,0;3,0;PORTE II;0,0
HCM;2020,0;3,0;PORTE III;0,0
HCM;2020,0;3,0;PORTE IV;0,0
HCM;2020,0;3,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;4,0;PORTE I;0,0
HCM;2020,0;4,0;PORTE II;0,0
HCM;2020,0;4,0;PORTE III;0,0
HCM;2020,0;4,0;PORTE IV;0,0
HCM;2020,0;4,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;5,0;PORTE I;0,0
HCM;2020,0;5,0;PORTE II;0,0
HCM;2020,0;5,0;PORTE III;0,0
HCM;2020,0;5,0;PORTE IV;0,0
HCM;2020,0;5,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;6,0;PORTE I;0,0
HCM;2020,0;6,0;PORTE II;0,0
HCM;2020,0;6,0;PORTE III;0,0
HCM;2020,0;6,0;PORTE IV;0,0
HCM;2020,0;6,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;7,0;PORTE I;0,0
HCM;2020,0;7,0;PORTE II;0,0
HCM;2020,0;7,0;PORTE III;0,0
HCM;2020,0;7,0;PORTE IV;0,0
HCM;2020,0;7,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;8,0;PORTE I;0,0
HCM;2020,0;8,0;PORTE II;0,0
HCM;2020,0;8,0;PORTE III;0,0
HCM;2020,0;8,0;PORTE IV;0,0
HCM;2020,0;8,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;9,0;PORTE I;0,0
HCM;2020,0;9,0;PORTE II;0,0
HCM;2020,0;9,0;PORTE III;0,0
HCM;2020,0;9,0;PORTE IV;0,0
HCM;2020,0;9,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;10,0;PORTE I;0,0
HCM;2020,0;10,0;PORTE II;0,0
HCM;2020,0;10,0;PORTE III;0,0
HCM;2020,0;10,0;PORTE IV;0,0
HCM;2020,0;10,0;PORTE SEM INFORMAÇÃO;0,0
HCM;2020,0;11,0;PORTE I;0,0
HCM;2020,0;11,0;PORTE II;0,0
HCM;2020,0;11,0;PORTE III;0,0
HCM;2020,0;11,0;PORTE IV;0,0
HCM;2020,0;11,0;PORTE SEM INFORMAÇÃO;0,0
