unidade;mes;ano;porte;quantidade
HCM;Fevereiro;2016;PORTE I (0 A 2 HORAS);56
HCM;Março;2016;PORTE I (0 A 2 HORAS);68
HCM;Abril;2016;PORTE I (0 A 2 HORAS);44
HCM;Maio;2016;PORTE I (0 A 2 HORAS);56
HCM;Junho;2016;PORTE I (0 A 2 HORAS);79
HCM;Julho;2016;PORTE I (0 A 2 HORAS);47
HCM;Agosto;2016;PORTE I (0 A 2 HORAS);0
HCM;Setembro;2016;PORTE I (0 A 2 HORAS);53
HCM;Outubro;2016;PORTE I (0 A 2 HORAS);55
HCM;Novembro;2016;PORTE I (0 A 2 HORAS);28
HCM;Dezembro;2016;PORTE I (0 A 2 HORAS);0
HEM;Janeiro;2016;PORTE I (0 A 2 HORAS);35
HEM;Janeiro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Janeiro;2016;PORTE III (4 A 5 HORAS);0
HEM;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Fevereiro;2016;PORTE I (0 A 2 HORAS);90
HEM;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Fevereiro;2016;PORTE III (4 A 5 HORAS);0
HEM;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Março;2016;PORTE I (0 A 2 HORAS);70
HEM;Março;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Março;2016;PORTE III (4 A 5 HORAS);0
HEM;Março;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Abril;2016;PORTE I (0 A 2 HORAS);91
HEM;Abril;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Abril;2016;PORTE III (4 A 5 HORAS);0
HEM;Abril;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Maio;2016;PORTE I (0 A 2 HORAS);82
HEM;Maio;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Maio;2016;PORTE III (4 A 5 HORAS);0
HEM;Maio;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Junho;2016;PORTE I (0 A 2 HORAS);63
HEM;Junho;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Junho;2016;PORTE III (4 A 5 HORAS);0
HEM;Junho;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Julho;2016;PORTE I (0 A 2 HORAS);45
HEM;Julho;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Julho;2016;PORTE III (4 A 5 HORAS);0
HEM;Julho;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Agosto;2016;PORTE I (0 A 2 HORAS);104
HEM;Agosto;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Agosto;2016;PORTE III (4 A 5 HORAS);0
HEM;Agosto;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Setembro;2016;PORTE I (0 A 2 HORAS);72
HEM;Setembro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Setembro;2016;PORTE III (4 A 5 HORAS);0
HEM;Setembro;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Outubro;2016;PORTE I (0 A 2 HORAS);70
HEM;Outubro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Outubro;2016;PORTE III (4 A 5 HORAS);0
HEM;Outubro;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Novembro;2016;PORTE I (0 A 2 HORAS);75
HEM;Novembro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Novembro;2016;PORTE III (4 A 5 HORAS);0
HEM;Novembro;2016;PORTE IV (ACIMA 6 HORAS);0
HEM;Dezembro;2016;PORTE I (0 A 2 HORAS);20
HEM;Dezembro;2016;PORTE II ( 2 A 4 HORAS);0
HEM;Dezembro;2016;PORTE III (4 A 5 HORAS);0
HEM;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Janeiro;2016;PORTE I (0 A 2 HORAS);89
HGBJA;Janeiro;2016;PORTE II ( 2 A 4 HORAS);22
HGBJA;Janeiro;2016;PORTE III (4 A 5 HORAS);2
HGBJA;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);1
HGBJA;Fevereiro;2016;PORTE I (0 A 2 HORAS);81
HGBJA;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);19
HGBJA;Fevereiro;2016;PORTE III (4 A 5 HORAS);0
HGBJA;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Março;2016;PORTE I (0 A 2 HORAS);66
HGBJA;Março;2016;PORTE II ( 2 A 4 HORAS);20
HGBJA;Março;2016;PORTE III (4 A 5 HORAS);1
HGBJA;Março;2016;PORTE IV (ACIMA 6 HORAS);1
HGBJA;Abril;2016;PORTE I (0 A 2 HORAS);91
HGBJA;Abril;2016;PORTE II ( 2 A 4 HORAS);20
HGBJA;Abril;2016;PORTE III (4 A 5 HORAS);2
HGBJA;Abril;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Maio;2016;PORTE I (0 A 2 HORAS);102
HGBJA;Maio;2016;PORTE II ( 2 A 4 HORAS);23
HGBJA;Maio;2016;PORTE III (4 A 5 HORAS);0
HGBJA;Maio;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Junho;2016;PORTE I (0 A 2 HORAS);83
HGBJA;Junho;2016;PORTE II ( 2 A 4 HORAS);32
HGBJA;Junho;2016;PORTE III (4 A 5 HORAS);4
HGBJA;Junho;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Julho;2016;PORTE I (0 A 2 HORAS);77
HGBJA;Julho;2016;PORTE II ( 2 A 4 HORAS);30
HGBJA;Julho;2016;PORTE III (4 A 5 HORAS);1
HGBJA;Julho;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Agosto;2016;PORTE I (0 A 2 HORAS);83
HGBJA;Agosto;2016;PORTE II ( 2 A 4 HORAS);26
HGBJA;Agosto;2016;PORTE III (4 A 5 HORAS);1
HGBJA;Agosto;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Setembro;2016;PORTE I (0 A 2 HORAS);86
HGBJA;Setembro;2016;PORTE II ( 2 A 4 HORAS);20
HGBJA;Setembro;2016;PORTE III (4 A 5 HORAS);113
HGBJA;Setembro;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Outubro;2016;PORTE I (0 A 2 HORAS);110
HGBJA;Outubro;2016;PORTE II ( 2 A 4 HORAS);20
HGBJA;Outubro;2016;PORTE III (4 A 5 HORAS);0
HGBJA;Outubro;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Novembro;2016;PORTE I (0 A 2 HORAS);94
HGBJA;Novembro;2016;PORTE II ( 2 A 4 HORAS);24
HGBJA;Novembro;2016;PORTE III (4 A 5 HORAS);5
HGBJA;Novembro;2016;PORTE IV (ACIMA 6 HORAS);0
HGBJA;Dezembro;2016;PORTE I (0 A 2 HORAS);83
HGBJA;Dezembro;2016;PORTE II ( 2 A 4 HORAS);14
HGBJA;Dezembro;2016;PORTE III (4 A 5 HORAS);0
HGBJA;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);0
HJK;Janeiro;2016;PORTE I (0 A 2 HORAS);84
HJK;Janeiro;2016;PORTE II ( 2 A 4 HORAS);68
HJK;Janeiro;2016;PORTE III (4 A 5 HORAS);17
HJK;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);3
HJK;Fevereiro;2016;PORTE I (0 A 2 HORAS);84
HJK;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);68
HJK;Fevereiro;2016;PORTE III (4 A 5 HORAS);10
HJK;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);0
HJK;Março;2016;PORTE I (0 A 2 HORAS);211
HJK;Março;2016;PORTE II ( 2 A 4 HORAS);92
HJK;Março;2016;PORTE III (4 A 5 HORAS);22
HJK;Março;2016;PORTE IV (ACIMA 6 HORAS);5
HJK;Abril;2016;PORTE I (0 A 2 HORAS);201
HJK;Abril;2016;PORTE II ( 2 A 4 HORAS);80
