unidade;mes;ano;porte;quantidade
CSSFA;Janeiro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Janeiro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Fevereiro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Fevereiro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Março;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Março;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Abril;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Abril;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Maio;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Maio;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Junho;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Junho;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Julho;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Julho;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Agosto;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Agosto;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Setembro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Setembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Outubro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Outubro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Novembro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Novembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFA;Dezembro;2020;PORTE I (0 A 2 HORAS);0
CSSFA;Dezembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSFE;Janeiro;2020;PORTE I (0 A 2 HORAS);29
CSSFE;Fevereiro;2020;PORTE I (0 A 2 HORAS);16
CSSFE;Março;2020;PORTE I (0 A 2 HORAS);8
CSSFE;Abril;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Maio;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Junho;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Julho;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Agosto;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Setembro;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Outubro;2020;PORTE I (0 A 2 HORAS);0
CSSFE;Novembro;2020;PORTE I (0 A 2 HORAS);0
CSSI;Janeiro;2020;PORTE I (0 A 2 HORAS);37
CSSI;Janeiro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Janeiro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Janeiro;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Fevereiro;2020;PORTE I (0 A 2 HORAS);12
CSSI;Fevereiro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Fevereiro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Fevereiro;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Março;2020;PORTE I (0 A 2 HORAS);11
CSSI;Março;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Março;2020;PORTE III (4 A 5 HORAS);0
CSSI;Março;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Abril;2020;PORTE I (0 A 2 HORAS);0
CSSI;Abril;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Abril;2020;PORTE III (4 A 5 HORAS);0
CSSI;Abril;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Maio;2020;PORTE I (0 A 2 HORAS);0
CSSI;Maio;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Maio;2020;PORTE III (4 A 5 HORAS);0
CSSI;Maio;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Junho;2020;PORTE I (0 A 2 HORAS);0
CSSI;Junho;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Junho;2020;PORTE III (4 A 5 HORAS);0
CSSI;Junho;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Julho;2020;PORTE I (0 A 2 HORAS);0
CSSI;Julho;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Julho;2020;PORTE III (4 A 5 HORAS);0
CSSI;Julho;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Agosto;2020;PORTE I (0 A 2 HORAS);0
CSSI;Agosto;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Agosto;2020;PORTE III (4 A 5 HORAS);0
CSSI;Agosto;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Setembro;2020;PORTE I (0 A 2 HORAS);0
CSSI;Setembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Setembro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Setembro;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Outubro;2020;PORTE I (0 A 2 HORAS);0
CSSI;Outubro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Outubro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Outubro;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Novembro;2020;PORTE I (0 A 2 HORAS);0
CSSI;Novembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Novembro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Novembro;2020;PORTE IV (ACIMA 6 HORAS);0
CSSI;Dezembro;2020;PORTE I (0 A 2 HORAS);0
CSSI;Dezembro;2020;PORTE II ( 2 A 4 HORAS);0
CSSI;Dezembro;2020;PORTE III (4 A 5 HORAS);0
CSSI;Dezembro;2020;PORTE IV (ACIMA 6 HORAS);0
HAC;Janeiro;2020;PORTE I (0 A 2 HORAS);35
HAC;Janeiro;2020;PORTE II ( 2 A 4 HORAS);26
HAC;Janeiro;2020;PORTE III (4 A 5 HORAS);41
HAC;Janeiro;2020;PORTE IV (ACIMA 6 HORAS);35
HAC;Fevereiro;2020;PORTE I (0 A 2 HORAS);39
HAC;Fevereiro;2020;PORTE II ( 2 A 4 HORAS);41
HAC;Fevereiro;2020;PORTE III (4 A 5 HORAS);42
HAC;Fevereiro;2020;PORTE IV (ACIMA 6 HORAS);22
HAC;Março;2020;PORTE I (0 A 2 HORAS);35
HAC;Março;2020;PORTE II ( 2 A 4 HORAS);25
HAC;Março;2020;PORTE III (4 A 5 HORAS);49
HAC;Março;2020;PORTE IV (ACIMA 6 HORAS);16
HAC;Abril;2020;PORTE I (0 A 2 HORAS);15
HAC;Abril;2020;PORTE II ( 2 A 4 HORAS);27
HAC;Abril;2020;PORTE III (4 A 5 HORAS);46
HAC;Abril;2020;PORTE IV (ACIMA 6 HORAS);20
HAC;Maio;2020;PORTE I (0 A 2 HORAS);6
HAC;Maio;2020;PORTE II ( 2 A 4 HORAS);26
HAC;Maio;2020;PORTE III (4 A 5 HORAS);64
HAC;Maio;2020;PORTE IV (ACIMA 6 HORAS);24
HAC;Junho;2020;PORTE I (0 A 2 HORAS);5
HAC;Junho;2020;PORTE II ( 2 A 4 HORAS);20
HAC;Junho;2020;PORTE III (4 A 5 HORAS);61
HAC;Junho;2020;PORTE IV (ACIMA 6 HORAS);28
HAC;Julho;2020;PORTE I (0 A 2 HORAS);14
HAC;Julho;2020;PORTE II ( 2 A 4 HORAS);13
HAC;Julho;2020;PORTE III (4 A 5 HORAS);57
HAC;Julho;2020;PORTE IV (ACIMA 6 HORAS);35
HAC;Agosto;2020;PORTE I (0 A 2 HORAS);34
HAC;Agosto;2020;PORTE II ( 2 A 4 HORAS);23
HAC;Agosto;2020;PORTE III (4 A 5 HORAS);34
HAC;Agosto;2020;PORTE IV (ACIMA 6 HORAS);25
HAC;Setembro;2020;PORTE I (0 A 2 HORAS);21
HAC;Setembro;2020;PORTE II ( 2 A 4 HORAS);35
HAC;Setembro;2020;PORTE III (4 A 5 HORAS);38
HAC;Setembro;2020;PORTE IV (ACIMA 6 HORAS);25
HAC;Outubro;2020;PORTE I (0 A 2 HORAS);20
HAC;Outubro;2020;PORTE II ( 2 A 4 HORAS);17
HAC;Outubro;2020;PORTE III (4 A 5 HORAS);51
HAC;Outubro;2020;PORTE IV (ACIMA 6 HORAS);31
HAC;Novembro;2020;PORTE I (0 A 2 HORAS);36
HAC;Novembro;2020;PORTE II ( 2 A 4 HORAS);27
HAC;Novembro;2020;PORTE III (4 A 5 HORAS);38
HAC;Novembro;2020;PORTE IV (ACIMA 6 HORAS);15
HAC;Dezembro;2020;PORTE I (0 A 2 HORAS);32
HAC;Dezembro;2020;PORTE II ( 2 A 4 HORAS);24
HAC;Dezembro;2020;PORTE III (4 A 5 HORAS);28
HAC;Dezembro;2020;PORTE IV (ACIMA 6 HORAS);21
HCM;Janeiro;2020;PORTE I (0 A 2 HORAS);54
HCM;Fevereiro;2020;PORTE I (0 A 2 HORAS);21
HCM;Abril;2020;PORTE I (0 A 2 HORAS);0
HCM;Maio;2020;PORTE I (0 A 2 HORAS);0
HCM;Junho;2020;PORTE I (0 A 2 HORAS);0
HCM;Julho;2020;PORTE I (0 A 2 HORAS);0
HCM;Agosto;2020;PORTE I (0 A 2 HORAS);0
HCM;Setembro;2020;PORTE I (0 A 2 HORAS);0
HCM;Outubro;2020;PORTE I (0 A 2 HORAS);0
HCM;Novembro;2020;PORTE I (0 A 2 HORAS);0
HCM;Dezembro;2020;PORTE I (0 A 2 HORAS);0
HEM;Janeiro;2020;PORTE I (0 A 2 HORAS);59
HEM;Janeiro;2020;PORTE II ( 2 A 4 HORAS);1
HEM;Janeiro;2020;PORTE III (4 A 5 HORAS);0
HEM;Janeiro;2020;PORTE IV (ACIMA 6 HORAS);1
HEM;Fevereiro;2020;PORTE I (0 A 2 HORAS);47
