column_1;column_2;column_3;column_4;column_5;column_6;column_7
"HAC;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);104";
"HAC;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);54"
"HAC;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);25";
"HAC;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);4";;
"HAC;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);102";
"HAC;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);61"
"HAC;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);19";
"HAC;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);9";;
"HAC;Abril;2024;PORTE";I;(0;A;2;"HORAS);90";
"HAC;Abril;2024;PORTE";II;(;2;A;4;"HORAS);50"
"HAC;Abril;2024;PORTE";III;(4;A;5;"HORAS);34";
"HAC;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);4";;
"HAC;Maio;2024;PORTE";I;(0;A;2;"HORAS);98";
"HAC;Maio;2024;PORTE";II;(;2;A;4;"HORAS);50"
"HAC;Maio;2024;PORTE";III;(4;A;5;"HORAS);25";
"HAC;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);6";;
"HAC;Junho;2024;PORTE";I;(0;A;2;"HORAS);87";
"HAC;Junho;2024;PORTE";II;(;2;A;4;"HORAS);48"
"HAC;Junho;2024;PORTE";III;(4;A;5;"HORAS);16";
"HAC;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);6";;
"HAC;Julho;2024;PORTE";I;(0;A;2;"HORAS);103";
"HAC;Julho;2024;PORTE";II;(;2;A;4;"HORAS);40"
"HAC;Julho;2024;PORTE";III;(4;A;5;"HORAS);12";
"HAC;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);7";;
"HAC;Agosto;2024;PORTE";I;(0;A;2;"HORAS);71";
"HAC;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);52"
"HAC;Agosto;2024;PORTE";III;(4;A;5;"HORAS);20";
"HAC;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);7";;
"HAC;Setembro;2024;PORTE";I;(0;A;2;"HORAS);106";
"HAC;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);54"
"HAC;Setembro;2024;PORTE";III;(4;A;5;"HORAS);18";
"HAC;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);5";;
"HAC;Outubro;2024;PORTE";I;(0;A;2;"HORAS);113";
"HAC;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);45"
"HAC;Outubro;2024;PORTE";III;(4;A;5;"HORAS);31";
"HAC;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);12";;
"HAC;Novembro;2024;PORTE";I;(0;A;2;"HORAS);85";
"HAC;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);59"
"HAC;Novembro;2024;PORTE";III;(4;A;5;"HORAS);28";
"HAC;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);7";;
"HEM;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);38";
"HEM;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);47";
"HEM;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);1";
"HEM;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);68";
"HEM;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);0"
"HEM;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Abril;2024;PORTE";I;(0;A;2;"HORAS);59";
"HEM;Abril;2024;PORTE";II;(;2;A;4;"HORAS);3"
"HEM;Abril;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Maio;2024;PORTE";I;(0;A;2;"HORAS);53";
"HEM;Maio;2024;PORTE";II;(;2;A;4;"HORAS);4"
"HEM;Maio;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Junho;2024;PORTE";I;(0;A;2;"HORAS);70";
"HEM;Junho;2024;PORTE";II;(;2;A;4;"HORAS);4"
"HEM;Junho;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Julho;2024;PORTE";I;(0;A;2;"HORAS);52";
"HEM;Julho;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Julho;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Agosto;2024;PORTE";I;(0;A;2;"HORAS);60";
"HEM;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);0"
"HEM;Agosto;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Setembro;2024;PORTE";I;(0;A;2;"HORAS);55";
"HEM;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Setembro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Outubro;2024;PORTE";I;(0;A;2;"HORAS);47";
"HEM;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Outubro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HEM;Novembro;2024;PORTE";I;(0;A;2;"HORAS);41";
"HEM;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);1"
"HEM;Novembro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HEM;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HGBJA;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);118";
"HGBJA;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);44"
"HGBJA;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);3";
