column_1;column_2;column_3;column_4;column_5;column_6;column_7
"unidade;mes;ano;porte;quantidade";;;;;;
"HAC;Abril;2025;PORTE";I;(0;A;2;"HORAS);99";
"HAC;Abril;2025;PORTE";II;(;2;A;4;"HORAS);66"
"HAC;Abril;2025;PORTE";III;(4;A;5;"HORAS);22";
"HAC;Abril;2025;PORTE";IV;(ACIMA;6;"HORAS);6";;
"HAC;Agosto;2025;PORTE";I;(0;A;2;"HORAS);90";
"HAC;Agosto;2025;PORTE";II;(;2;A;4;"HORAS);67"
"HAC;Agosto;2025;PORTE";III;(4;A;5;"HORAS);20";
"HAC;Agosto;2025;PORTE";IV;(ACIMA;6;"HORAS);9";;
"HAC;Fevereiro;2025;PORTE";I;(0;A;2;"HORAS);101";
"HAC;Fevereiro;2025;PORTE";II;(;2;A;4;"HORAS);52"
"HAC;Fevereiro;2025;PORTE";III;(4;A;5;"HORAS);19";
"HAC;Fevereiro;2025;PORTE";IV;(ACIMA;6;"HORAS);8";;
"HAC;Janeiro;2025;PORTE";I;(0;A;2;"HORAS);96";
"HAC;Janeiro;2025;PORTE";II;(;2;A;4;"HORAS);47"
"HAC;Janeiro;2025;PORTE";III;(4;A;5;"HORAS);25";
"HAC;Janeiro;2025;PORTE";IV;(ACIMA;6;"HORAS);9";;
"HAC;Julho;2025;PORTE";I;(0;A;2;"HORAS);114";
"HAC;Julho;2025;PORTE";II;(;2;A;4;"HORAS);62"
"HAC;Julho;2025;PORTE";III;(4;A;5;"HORAS);24";
"HAC;Julho;2025;PORTE";IV;(ACIMA;6;"HORAS);10";;
"HAC;Junho;2025;PORTE";I;(0;A;2;"HORAS);113";
"HAC;Junho;2025;PORTE";II;(;2;A;4;"HORAS);34"
"HAC;Junho;2025;PORTE";III;(4;A;5;"HORAS);26";
"HAC;Junho;2025;PORTE";IV;(ACIMA;6;"HORAS);11";;
"HAC;Maio;2025;PORTE";I;(0;A;2;"HORAS);88";
"HAC;Maio;2025;PORTE";II;(;2;A;4;"HORAS);68"
"HAC;Maio;2025;PORTE";III;(4;A;5;"HORAS);24";
"HAC;Maio;2025;PORTE";IV;(ACIMA;6;"HORAS);14";;
"HAC;Mar?;2025;PORTE";I;(0;A;2;"HORAS);102";
"HAC;Mar?;2025;PORTE";II;(;2;A;4;"HORAS);71"
"HAC;Mar?;2025;PORTE";III;(4;A;5;"HORAS);27";
"HAC;Mar?;2025;PORTE";IV;(ACIMA;6;"HORAS);5";;
"HAC;Setembro;2025;PORTE";I;(0;A;2;"HORAS);123";
"HAC;Setembro;2025;PORTE";II;(;2;A;4;"HORAS);49"
"HAC;Setembro;2025;PORTE";III;(4;A;5;"HORAS);20";
"HAC;Setembro;2025;PORTE";IV;(ACIMA;6;"HORAS);11";;
"HCM;Setembro;2025;PORTE";I;(0;A;2;"HORAS);8";
"HEM;Abril;2025;PORTE";I;(0;A;2;"HORAS);43";
"HEM;Agosto;2025;PORTE";I;-;"PEQUENO;32";;;
"HEM;Agosto;2025;PORTE";II;-;"M?IO;2";;;
"HEM;Fevereiro;2025;PORTE";I;(0;A;2;"HORAS);29";
"HEM;Janeiro;2025;PORTE";I;(0;A;2;"HORAS);35";
"HEM;Janeiro;2025;PORTE";II;(;2;A;4;"HORAS);1"
